No,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,7.21,798.4,22.89,223125.28,Compound,None,,
2,7.09,968,30.89,428259.73,Compound,None,,
3,6.97,796.6,22.48,217948.06,Compound,None,,
4,6.52,1640.7,1.23,25197.03,Compound,None,,
5,4.36,343.3,1.51,5491.27,Compound,None,,
6,4.34,726.7,1.42,11911.5,Compound,None,,
7,4.33,400.1,1.59,7383.94,Compound,None,,
8,3.51,4966.3,2.55,157427.02,Compound,None,,
9,2.77,220.7,10.04,32279.42,Compound,None,,
10,2.23,293.6,2.46,10453.55,Compound,None,,
11,2.21,624.7,2.35,19353.37,Compound,None,,
12,2.19,362,2.4,12039.11,Compound,None,,
13,2.18,110.5,3.69,4496.17,Compound,None,,
14,2.06,117.8,25.03,32974.76,Compound,None,,
15,1.91,1861.4,1.08,22408.04,Compound,None,,
16,1.54,190.2,4.41,12207.42,Compound,None,,
17,1.52,243.9,5.58,13001.84,Compound,None,,
18,1.5,412.9,6.38,36873.77,Compound,None,,
19,1.49,231.6,4.28,13861.7,Compound,None,,
20,1.26,684.7,66.26,658253.77,Compound,None,,
21,1.24,938.3,5.37,64962.95,Compound,None,,
22,1.23,2494.8,3.59,115722.62,Compound,None,,
23,1.16,128.9,2.16,4054.52,Compound,None,,
24,1.15,634.7,3.42,27812.33,Compound,None,,
25,1.09,221.3,1.71,4761.05,Compound,None,,
26,1.07,1429.4,1.12,17723.24,Compound,None,,
27,1.05,2945.6,1.15,39539.83,Compound,None,,
28,1.05,3212.4,3.49,127939.12,Compound,None,,
29,1.04,1196.4,1.05,14871.3,Compound,None,,
30,1.03,3504.9,3.97,161734.3,Compound,None,,
31,1.02,643.5,2.61,19880.02,Compound,None,,
32,1,350.4,2.62,10872.39,Compound,None,,
33,0.87,190.1,5.26,10160.24,Compound,None,,
34,0.86,266.4,1.19,3611.78,Compound,None,,
35,0.85,451.8,3.05,19691.25,Compound,None,,
36,0.84,915.1,19.95,265942.27,Compound,None,,
37,0.13,214.2,1.36,3652.56,CS Reference,None,,
38,0.08,3997.9,1.12,48884.47,CS Reference,None,,
39,0.07,354.1,1.38,6950.38,CS Reference,None,,
40,0.07,182.9,1.95,4741.9,CS Reference,None,,