,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,8.95,142.4,16.76,27983.74,Compound,None,,,31,1.49,612.5,3.7,30090.23,Compound,None,,
2,7.63,273.6,33.92,114911.51,Compound,None,,,32,1.46,308.7,4.93,14571.7,Compound,None,,
3,7.25,107.5,2.62,2849.96,Compound,None,,,33,1.43,1967.1,4.18,103922.33,Compound,None,,
4,7.24,378.6,4.51,17836.14,Compound,None,,,34,1.42,815.8,3.91,42025.77,Compound,None,,
5,7.22,5165.7,2.84,187166.5,Compound,None,,,35,1.4,376.1,3.62,14625.88,Compound,None,,
6,7.12,432.1,4.46,21647.44,Compound,None,,,36,1.38,3012.6,3.97,143217.18,Compound,None,,
7,7.1,5377.1,2.74,185187.4,Compound,None,,,37,1.34,146.8,3.19,5378,Compound,None,,
8,6.99,451.4,5.86,30746.23,Compound,None,,,38,1.32,384,3.16,13496.08,Compound,None,,
9,6.97,5129.6,2.76,178080.94,Compound,None,,,39,1.3,395,3.55,17738.16,Compound,None,,
10,6.52,1537.1,2.45,49582.86,Compound,None,,,40,1.28,707,5.83,60010.95,Compound,None,,
11,5.27,114.1,2.21,3501.61,Compound,None,,,41,1.26,760.1,6.15,53633.05,Compound,None,,
12,5.26,302,4.92,21651.64,Compound,None,,,42,1.25,5341.6,5.57,395889.51,Compound,None,,
13,5.1,129.1,32.73,55602.93,Compound,None,,,43,1.23,1697,3.44,74929.28,Compound,None,,
14,4.41,307,7.25,26292.54,Compound,None,,,44,1.18,174.4,2.01,4868.06,Impurity,None,,
15,4.4,138.4,3.97,5742.17,Compound,None,,,45,1.15,580.5,3.57,25325.51,Compound,None,,
16,2.19,636.2,1.96,16026.37,Compound,None,,,46,1.11,167.9,1.71,3491.74,Compound,None,,
17,2.18,255.1,11.09,39687.21,Compound,None,,,47,1.11,1183.2,1.39,20818.48,Compound,None,,
18,2.14,222.3,11.49,37208.61,Compound,None,,,48,1.1,141.2,3.97,8173.42,Compound,None,,
19,2.08,384.1,1.55,7627.89,Compound,None,,,49,1.04,20615.8,3.43,783384.8,Compound,None,,
20,2.06,316.7,27.16,125289.42,Compound,None,,,50,1.03,20650.4,3.7,873751.32,Compound,None,,
21,2.04,159.1,4.96,10546.97,Compound,None,,,51,1.01,2192.1,2.43,66355.16,Compound,None,,
22,1.91,1159.1,1.43,18294.14,Compound,None,,,52,1,370.3,1.68,7264.5,Compound,None,,
23,1.87,306.1,37.5,110645.55,Compound,None,,,53,1,2172.3,2.15,53100.24,Compound,None,,
24,1.77,161.9,6.18,11421.33,Compound,None,,,54,0.87,724.5,8.4,88686.62,Compound,None,,
25,1.64,161.3,3.82,8982.74,Compound,None,,,55,0.86,995.6,2.07,26094.42,Compound,None,,
26,1.56,117.2,2.95,3248.8,Impurity,None,,,56,0.85,310.2,2.17,7130.46,Impurity,None,,
27,1.54,215.8,2.98,7147.9,Impurity,None,,,57,0.84,580.7,4.52,38098.01,Compound,None,,
28,1.54,305.8,3.85,12533.18,Compound,None,,,58,0.82,323.7,30.74,141749.39,Compound,None,,
29,1.52,1068.7,5.6,78213.99,Compound,None,,,59,0.81,184.5,4.62,12410.88,Compound,None,,
30,1.5,1153.2,6.22,98176.62,Compound,None,,,60,0.07,468.8,2.21,12602.81,Compound,None,,